timestamp,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles,neff,update_time_ms
24.12,0.170585855303853,-0.13414422628494332,-2.028263262950378,-0.541563,0.269682,-1.719927,0.8186767452090762,1105,785.733461420561,1562.5722408294678
24.22,0.167234730211907,-0.13903667387090032,-2.027501365326566,-0.543793,0.254847,-1.719928,0.812837487861094,1105,786.4283587776937,1596.7607498168945
24.32,0.16424255391539752,-0.1441273177613446,-2.021156715587965,-0.545621,0.242275,-1.707469,0.8082159466063125,1105,766.6052331661998,1522.0975875854492
24.42,0.17343778571197993,-0.13748222965051765,-1.9334315159581452,-0.545589,0.242113,-1.615515,0.813075677255648,1000,645.7247175545492,1607.7673435211182
24.52,0.180828914286592,-0.14028211104349175,-1.9506106519759117,-0.545833,0.230961,-1.587925,0.8160018291474013,1000,884.5962458420863,1407.3584079742432
24.62,0.1779351669101806,-0.1456206491395123,-1.949130396612599,-0.546088,0.215957,-1.587937,0.8092885409913473,1000,882.8719716230169,1501.882791519165
24.72,0.17563055624197785,-0.15113145013895268,-1.949377726067982,-0.546345,0.200957,-1.587941,0.8032527500931217,1000,880.3230457620086,1449.5153427124023
24.82,0.17256988312251675,-0.15752368522621946,-1.9512054562415717,-0.546602,0.185958,-1.587942,0.796986741144312,1000,879.6665315149392,1472.6848602294922
24.92,0.17073594659862545,-0.16317958394463286,-1.9506034261858662,-0.54686,0.17096,-1.587942,0.7915764044825172,1000,876.2460056080507,1422.5730895996094
25.02,0.16796021159633337,-0.16996924930923288,-1.948726881967985,-0.547117,0.155962,-1.587942,0.785854056311135,1000,878.9567596323483,1423.0232238769531
25.12,0.1646446196313073,-0.17539868924283264,-1.9527334162470822,-0.547374,0.140965,-1.587942,0.7791383051634722,1000,877.2826002789998,1471.0595607757568
25.22,0.16236141809001403,-0.1810533562107571,-1.950730126894783,-0.547631,0.125967,-1.587942,0.7735313392960141,1000,874.9105984908048,1431.6527843475342
25.32,0.15963998073912333,-0.18735317408969365,-1.952083823128263,-0.547888,0.110969,-1.587942,0.7678489194381813,1000,872.2843127874097,1399.566411972046
25.42,0.15719579737085593,-0.1929081507764822,-1.950098371720775,-0.548145,0.095971,-1.587942,0.7622052244567051,1000,874.5476727006389,1433.5112571716309
25.52,0.15490699648865577,-0.1992214474449155,-1.9522076472203596,-0.548403,0.080973,-1.587942,0.7570692699745741,1000,868.6859113113443,1472.5067615509033
25.62,0.1515784511624291,-0.20480646870699137,-1.9513515925258675,-0.54866,0.065976,-1.587942,0.7507709596444248,1000,869.4367366464436,1434.5080852508545
25.72,0.1492040787087889,-0.21068347159704653,-1.9512378957096765,-0.548917,0.050978,-1.587942,0.745546622456205,1000,867.623267721445,1389.169454574585
25.82,0.1473250070662492,-0.21625373744451964,-1.950374854426822,-0.549174,0.03598,-1.587942,0.7407649594503657,1000,866.6554089013774,1426.8004894256592
25.92,0.14450885907250915,-0.22171851534185927,-1.9497756852439017,-0.549431,0.020982,-1.587942,0.7351571724174213,1000,865.1241573308279,1407.5298309326172
