timestamp,range_0,range_32,range_64,range_96,range_128,range_160,range_192,range_224,range_256,range_288,range_320,range_352,odom_x,odom_y,odom_theta,v,w,gt_x,gt_y,gt_theta
53.800,0.421999,0.333501,0.218344,0.202350,0.268499,0.794446,1.116455,1.639308,1.313859,1.097351,0.523073,0.433895,-0.418191,-0.137059,1.679939,0.150000,0.000000,-0.547961,-0.295670,1.497317
53.820,0.431704,0.334984,0.218313,0.206950,0.268637,0.764431,1.115340,1.653003,1.317357,1.100151,0.517159,0.426156,-0.418507,-0.134175,1.679939,0.150000,0.000000,-0.547740,-0.292678,1.497318
53.840,0.431477,0.325335,0.214107,0.204134,0.277442,0.763597,1.113663,1.624237,1.320032,1.112449,0.524594,0.425997,-0.418845,-0.131085,1.679939,0.150000,0.000000,-0.547520,-0.289686,1.497318
53.860,0.428610,0.337350,0.216782,0.202840,0.267603,0.787479,1.105503,1.631755,1.313592,1.120088,0.526863,0.432353,-0.419161,-0.128201,1.679939,0.150000,0.000000,-0.547300,-0.286694,1.497318
53.880,0.441657,0.330174,0.219946,0.212451,0.280400,0.795828,1.106970,1.615683,1.309011,1.155653,0.526056,0.431152,-0.419500,-0.125111,1.679939,0.150000,0.000000,-0.547080,-0.283702,1.497318
53.900,0.442443,0.330907,0.218695,0.207734,0.276963,0.798839,1.110879,1.611477,1.322887,1.162735,0.537207,0.433880,-0.419816,-0.122227,1.679939,0.150000,0.000000,-0.546860,-0.280710,1.497318
53.920,0.443738,0.327401,0.212079,0.207132,0.271780,0.789115,1.098030,1.613186,1.307937,1.140449,0.537165,0.433989,-0.420155,-0.119136,1.679939,0.000000,-1.000000,-0.546639,-0.277718,1.497319
53.940,0.447429,0.322611,0.207258,0.197029,0.286267,0.832837,1.103095,1.622722,1.310589,1.118165,0.537736,0.443039,-0.420155,-0.119136,1.659215,0.000000,-1.000000,-0.546591,-0.276869,1.486783
53.960,0.448301,0.312457,0.209974,0.206214,0.288332,0.891464,1.112868,1.647856,1.302915,1.091023,0.536863,0.441786,-0.420146,-0.119240,1.639787,0.000000,-1.000000,-0.546576,-0.276696,1.466785
53.980,0.446781,0.308668,0.214116,0.217766,0.280184,0.966666,1.125219,1.634793,1.304373,1.022393,0.521997,0.443423,-0.420146,-0.119240,1.619063,0.000000,-1.000000,-0.546575,-0.276695,1.448740
54.000,0.445410,0.305887,0.206423,0.205173,0.290791,0.997649,1.134067,1.606155,1.309090,0.992088,0.527898,0.443540,-0.420150,-0.119136,1.599634,0.000000,-1.000000,-0.546575,-0.276698,1.430751
54.020,0.454429,0.295027,0.209199,0.205648,0.293713,1.063511,1.140678,1.581854,1.308831,0.959907,0.535733,0.440773,-0.420148,-0.119240,1.580205,0.000000,-1.000000,-0.546574,-0.276701,1.412754
54.040,0.445866,0.288289,0.211893,0.198264,0.305611,1.065841,1.137864,1.573525,1.304254,0.932067,0.519180,0.439672,-0.420148,-0.119240,1.559481,0.000000,-1.000000,-0.546573,-0.276706,1.394737
54.060,0.452834,0.276746,0.203469,0.207629,0.309880,1.073891,1.150180,1.555499,1.306560,0.896021,0.502599,0.439713,-0.420146,-0.119136,1.540052,0.000000,-1.000000,-0.546572,-0.276711,1.376709
54.080,0.448776,0.275799,0.204469,0.213394,0.310757,1.058683,1.163132,1.530581,1.308311,0.889736,0.500207,0.446357,-0.420146,-0.119136,1.519328,0.000000,-1.000000,-0.546571,-0.276717,1.358676
54.100,0.465978,0.276881,0.205656,0.219208,0.310324,1.070922,1.173791,1.510718,1.304681,0.843530,0.497260,0.450226,-0.420153,-0.119240,1.499900,0.000000,-1.000000,-0.546570,-0.276722,1.340642
54.120,0.460034,0.271934,0.192573,0.209235,0.321521,1.063799,1.173454,1.508884,1.304294,0.835303,0.493003,0.451795,-0.420153,-0.119240,1.479176,0.150000,0.000000,-0.546569,-0.276727,1.322609
54.140,0.461332,0.276654,0.199182,0.215842,0.329544,1.062095,1.191192,1.512703,1.307015,0.809815,0.486672,0.448306,-0.419880,-0.116247,1.480471,0.150000,0.000000,-0.545940,-0.274363,1.316272
54.160,0.466013,0.263178,0.200094,0.219066,0.333588,1.063251,1.182106,1.497618,1.299862,0.834670,0.487275,0.454264,-0.419607,-0.113255,1.479176,0.150000,0.000000,-0.545183,-0.271456,1.316272
54.180,0.460043,0.274058,0.207533,0.220983,0.335569,1.067348,1.180955,1.490123,1.303035,0.826924,0.498826,0.451536,-0.419334,-0.110262,1.480471,0.150000,0.000000,-0.544426,-0.268550,1.316275
54.200,0.473153,0.269502,0.197913,0.215239,0.327076,1.049428,1.173269,1.503184,1.298674,0.830866,0.496730,0.453226,-0.419061,-0.107269,1.479176,0.150000,0.000000,-0.543669,-0.265645,1.316281
54.220,0.471795,0.270433,0.211050,0.219497,0.329308,1.055718,1.168280,1.510449,1.305624,0.854772,0.505925,0.458681,-0.418788,-0.104277,1.480471,0.150000,0.000000,-0.542913,-0.262739,1.316285
54.240,0.482515,0.271907,0.204117,0.212678,0.336641,1.042986,1.176801,1.502686,1.304063,0.841511,0.499233,0.464041,-0.418515,-0.101284,1.479176,0.150000,0.000000,-0.542157,-0.259835,1.316289
54.260,0.483912,0.274123,0.208522,0.207076,0.343883,1.042446,1.159021,1.487863,1.303834,0.846366,0.512464,0.464519,-0.418242,-0.098292,1.480471,0.150000,0.000000,-0.541401,-0.256930,1.316292
54.280,0.493418,0.271107,0.209840,0.212811,0.330394,1.033205,1.160886,1.495618,1.293436,0.855567,0.511642,0.470412,-0.417969,-0.095299,1.479176,0.150000,0.000000,-0.540645,-0.254026,1.316294
54.300,0.491292,0.278363,0.208675,0.224039,0.332471,1.040609,1.158759,1.500659,1.298800,0.874825,0.511174,0.467697,-0.417696,-0.092307,1.480471,0.150000,0.000000,-0.539890,-0.251121,1.316296
54.320,0.485360,0.274950,0.197114,0.213558,0.338083,1.035335,1.158249,1.501504,1.302193,0.867956,0.526370,0.475762,-0.417423,-0.089314,1.479176,0.150000,0.000000,-0.539134,-0.248217,1.316298
54.340,0.490893,0.276084,0.213262,0.223142,0.336292,1.025974,1.153288,1.496111,1.293152,0.885030,0.524996,0.477555,-0.417150,-0.086322,1.480471,0.150000,0.000000,-0.538379,-0.245314,1.316299
54.360,0.493183,0.277931,0.208331,0.217771,0.340737,1.017843,1.144860,1.487968,1.302188,0.887441,0.541625,0.479339,-0.416877,-0.083329,1.479176,0.150000,0.000000,-0.537624,-0.242410,1.316300
54.380,0.491962,0.272889,0.217173,0.225806,0.345040,1.024309,1.145760,1.477489,1.292479,0.878091,0.531530,0.481151,-0.416611,-0.080440,1.479176,0.150000,0.000000,-0.536868,-0.239506,1.316301
54.400,0.499222,0.274810,0.212380,0.222072,0.339279,1.018930,1.145978,1.493478,1.293184,0.901576,0.539588,0.484985,-0.416327,-0.077344,1.479176,0.150000,0.000000,-0.536113,-0.236602,1.316301
54.420,0.505946,0.282435,0.214313,0.221523,0.366395,1.021166,1.139489,1.492642,1.287704,0.888537,0.539652,0.491964,-0.416061,-0.074455,1.479176,0.150000,0.000000,-0.535358,-0.233699,1.316302
54.440,0.508358,0.264381,0.213330,0.230935,0.351747,1.015321,1.129156,1.497773,1.297203,0.895097,0.529765,0.490401,-0.415788,-0.071462,1.480471,0.150000,0.000000,-0.534603,-0.230795,1.316302
54.460,0.519632,0.282075,0.215730,0.220036,0.350233,1.005715,1.136174,1.481161,1.284743,0.917831,0.547716,0.490452,-0.415515,-0.068470,1.479176,0.150000,0.000000,-0.533847,-0.227892,1.316302
54.480,0.515107,0.282211,0.213055,0.229616,0.342370,1.007180,1.130222,1.461015,1.291441,0.903807,0.542785,0.501463,-0.415242,-0.065477,1.480471,0.150000,0.000000,-0.533092,-0.224988,1.316302
54.500,0.522278,0.295382,0.213482,0.221770,0.350961,1.004045,1.128204,1.462862,1.289348,0.914590,0.552125,0.505618,-0.414969,-0.062485,1.479176,0.150000,0.000000,-0.532337,-0.222085,1.316302
54.520,0.530588,0.288225,0.205330,0.227057,0.353543,1.008572,1.131167,1.484121,1.282665,0.933846,0.547896,0.508168,-0.414696,-0.059492,1.480471,0.150000,0.000000,-0.531582,-0.219181,1.316302
54.540,0.527511,0.286177,0.218803,0.227455,0.351403,0.989651,1.116080,1.482334,1.288934,0.938993,0.544367,0.505570,-0.414423,-0.056500,1.479176,0.150000,0.000000,-0.530827,-0.216278,1.316302
54.560,0.526651,0.285170,0.219991,0.231088,0.348325,0.995635,1.114418,1.475669,1.291320,0.947640,0.555905,0.503198,-0.414150,-0.053507,1.480471,0.000000,-1.000000,-0.530071,-0.213374,1.316302
54.580,0.531546,0.285290,0.213061,0.227902,0.365142,0.999404,1.121077,1.466683,1.286646,0.908610,0.565087,0.516692,-0.414150,-0.053507,1.459747,0.000000,-1.000000,-0.529967,-0.212743,1.302994
54.600,0.531538,0.278148,0.217024,0.238777,0.362676,0.995029,1.137217,1.447498,1.286818,0.889636,0.558544,0.517830,-0.414150,-0.053507,1.439023,0.000000,-1.000000,-0.529928,-0.212603,1.283325
54.620,0.541226,0.271288,0.219211,0.235332,0.373995,0.991973,1.149902,1.438861,1.287498,0.862318,0.546905,0.516931,-0.414165,-0.053610,1.419594,0.000000,-1.000000,-0.529928,-0.212606,1.265323
54.640,0.540765,0.267912,0.219629,0.223344,0.389055,0.990487,1.154516,1.434522,1.294117,0.852020,0.542947,0.510161,-0.414148,-0.053507,1.400165,0.000000,-1.000000,-0.529928,-0.212610,1.247326
54.660,0.540908,0.271661,0.212560,0.228659,0.401153,0.993691,1.169295,1.416081,1.290180,0.822176,0.537541,0.523011,-0.414148,-0.053507,1.379441,0.000000,-1.000000,-0.529928,-0.212614,1.229319
54.680,0.546032,0.256322,0.195766,0.220700,0.412062,0.996846,1.191608,1.414845,1.300724,0.821870,0.555691,0.525474,-0.414148,-0.053507,1.358717,0.000000,-1.000000,-0.529927,-0.212618,1.211308
