timestamp,range_0,range_8,range_16,range_24,range_32,range_40,range_48,range_56,range_64,range_72,range_80,range_88,range_96,range_104,range_112,range_120,range_128,range_136,range_144,range_152,range_160,range_168,range_176,range_184,range_192,range_200,range_208,range_216,range_224,range_232,range_240,range_248,range_256,range_264,range_272,range_280,range_288,range_296,range_304,range_312,range_320,range_328,range_336,range_344,range_352,odom_x,odom_y,odom_theta,v,w,gt_x,gt_y,gt_theta
0.620,0.267467,0.264081,0.268851,0.289662,0.297947,0.340814,0.399484,0.477363,0.610292,0.869376,1.320940,1.303090,1.302550,1.338926,1.400199,1.504220,1.655588,1.704566,1.515835,1.396415,1.306145,1.262045,1.240049,1.239481,0.917543,0.597103,0.429861,0.344021,0.258221,0.254703,0.226557,0.214521,0.205218,0.201887,0.201425,0.211743,0.207722,0.228134,0.248622,0.266467,0.308809,0.311482,0.287111,0.264950,0.265930,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.640,0.264383,0.263004,0.267144,0.286392,0.297406,0.337101,0.396536,0.472318,0.609075,0.880482,1.319475,1.303464,1.304329,1.336916,1.415924,1.508339,1.659132,1.708812,1.526730,1.393791,1.310728,1.267575,1.238997,1.236705,0.894355,0.571397,0.410549,0.329287,0.294869,0.260442,0.234917,0.220271,0.204371,0.203873,0.194425,0.205624,0.214366,0.232828,0.244209,0.264611,0.314428,0.298114,0.276396,0.268955,0.261437,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.660,0.259453,0.261018,0.263523,0.290711,0.303254,0.349900,0.399290,0.471543,0.615426,0.872187,1.316958,1.297041,1.306533,1.343497,1.415949,1.513540,1.649134,1.700316,1.531863,1.387775,1.320292,1.266030,1.239812,1.247281,0.923896,0.603226,0.431328,0.334210,0.282873,0.247097,0.227952,0.223604,0.209862,0.196005,0.199279,0.201347,0.207800,0.229063,0.250392,0.279231,0.312842,0.316496,0.290900,0.267002,0.265131,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.680,0.255571,0.267572,0.277649,0.284135,0.309400,0.342555,0.400818,0.467939,0.608249,0.878091,1.317977,1.302157,1.317532,1.337024,1.413126,1.504230,1.670348,1.708845,1.528122,1.392779,1.309818,1.261266,1.245260,1.248535,0.920335,0.569262,0.422140,0.335912,0.288126,0.246564,0.230496,0.214875,0.207375,0.199222,0.202743,0.217141,0.206802,0.222253,0.231630,0.272487,0.326196,0.314192,0.278069,0.272618,0.258904,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.700,0.262318,0.268147,0.266479,0.300096,0.312789,0.340330,0.389013,0.484424,0.619061,0.883429,1.322740,1.298718,1.311177,1.346058,1.406784,1.508073,1.666395,1.707648,1.513514,1.396722,1.316848,1.264183,1.245624,1.235726,0.890020,0.567782,0.430192,0.329267,0.276197,0.249916,0.233491,0.212224,0.209063,0.201749,0.196456,0.203421,0.209980,0.226414,0.228741,0.267516,0.307803,0.308102,0.284954,0.270189,0.260510,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.720,0.267777,0.254983,0.269345,0.290300,0.313740,0.343678,0.394754,0.476352,0.612884,0.866238,1.316944,1.299349,1.294680,1.347924,1.404740,1.503024,1.666601,1.708953,1.520978,1.404364,1.320581,1.264972,1.245005,1.238898,0.892201,0.563290,0.427459,0.333119,0.282544,0.255015,0.224407,0.214827,0.203399,0.197534,0.195669,0.201951,0.205568,0.226323,0.260830,0.266295,0.305358,0.307367,0.280830,0.264859,0.258730,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.740,0.267901,0.266537,0.275705,0.287860,0.306336,0.337812,0.391339,0.473940,0.612808,0.878449,1.320075,1.306020,1.306993,1.334570,1.407007,1.517318,1.675321,1.703985,1.520315,1.394911,1.318175,1.268022,1.239978,1.235069,0.929143,0.563145,0.429020,0.322882,0.280576,0.258312,0.233221,0.212322,0.204708,0.198356,0.202948,0.200887,0.203460,0.217185,0.244923,0.263472,0.326057,0.304888,0.281154,0.267140,0.262832,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.760,0.261802,0.267000,0.276597,0.277897,0.322219,0.344262,0.400847,0.478349,0.608293,0.870538,1.315582,1.297354,1.304948,1.343193,1.407859,1.512668,1.657458,1.708482,1.526265,1.397537,1.312046,1.261948,1.235977,1.234981,0.893184,0.603735,0.427946,0.347892,0.274219,0.246996,0.229082,0.216397,0.211339,0.199241,0.205785,0.206367,0.209033,0.227306,0.235348,0.283955,0.314711,0.304652,0.289924,0.265670,0.257357,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.780,0.255826,0.264485,0.266555,0.285731,0.306505,0.342126,0.393112,0.484379,0.604095,0.878767,1.320013,1.296880,1.302862,1.340110,1.405401,1.509744,1.656735,1.703390,1.518520,1.401714,1.309407,1.260954,1.242711,1.238371,0.932065,0.568336,0.415070,0.341496,0.270097,0.254127,0.229013,0.216292,0.205627,0.197647,0.204101,0.208196,0.210865,0.222814,0.245464,0.264583,0.311586,0.299185,0.284772,0.270105,0.261615,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.800,0.268696,0.262850,0.269006,0.283639,0.311562,0.346182,0.391535,0.469081,0.618399,0.882074,1.318596,1.303102,1.308771,1.343687,1.403982,1.505987,1.670785,1.696984,1.521384,1.392205,1.310814,1.260200,1.245080,1.243674,0.894065,0.574263,0.428054,0.327476,0.269835,0.245446,0.226447,0.209919,0.207765,0.206184,0.194758,0.212455,0.207211,0.234809,0.238799,0.262306,0.319807,0.315423,0.283248,0.272825,0.257676,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
