timestamp,range_0,range_16,range_32,range_48,range_64,range_80,range_96,range_112,range_128,range_144,range_160,range_176,range_192,range_208,range_224,range_240,range_256,range_272,range_288,range_304,range_320,range_336,range_352,odom_x,odom_y,odom_theta,v,w,gt_x,gt_y,gt_theta
0.840,0.260097,0.269763,0.305834,0.386726,0.611459,1.314918,1.302104,1.410396,1.664698,1.526791,1.322366,1.240670,0.913903,0.413951,0.274900,0.229711,0.202078,0.201013,0.208377,0.236706,0.322853,0.281314,0.264277,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.860,0.263754,0.272788,0.296827,0.388842,0.605093,1.318339,1.306590,1.403919,1.655787,1.530668,1.306187,1.242800,0.894687,0.418545,0.284225,0.225450,0.205153,0.193196,0.207948,0.244714,0.315021,0.283783,0.264357,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.880,0.263939,0.265929,0.307919,0.390833,0.611045,1.316772,1.300221,1.400823,1.664417,1.532957,1.313632,1.244984,0.921318,0.420579,0.284746,0.232020,0.210334,0.192076,0.208944,0.231842,0.308833,0.283465,0.270923,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.900,0.257315,0.269287,0.314496,0.395632,0.613441,1.323169,1.300170,1.401940,1.655098,1.516126,1.306411,1.243520,0.917299,0.422907,0.270806,0.221379,0.205485,0.207809,0.213368,0.239467,0.321559,0.279939,0.257332,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.920,0.264610,0.265929,0.310606,0.381817,0.612059,1.308614,1.309204,1.399823,1.660141,1.521096,1.301887,1.240376,0.916618,0.419361,0.281473,0.232848,0.208026,0.195830,0.212860,0.235281,0.306496,0.281176,0.262341,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.940,0.256106,0.271111,0.314609,0.399821,0.603816,1.315985,1.302796,1.410022,1.665051,1.520665,1.316145,1.243748,0.918871,0.428810,0.268141,0.232008,0.207166,0.200350,0.215200,0.243448,0.321829,0.274979,0.259532,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.960,0.260276,0.268383,0.313171,0.382873,0.625215,1.321527,1.312123,1.403133,1.677037,1.521664,1.308943,1.238780,0.916018,0.416519,0.307954,0.236326,0.205668,0.202111,0.209565,0.232124,0.312720,0.279745,0.263500,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.980,0.256365,0.267556,0.309305,0.382574,0.613828,1.317705,1.305471,1.410573,1.662151,1.524596,1.320768,1.243336,0.922723,0.433208,0.297101,0.231903,0.211433,0.210648,0.208433,0.256201,0.313616,0.290774,0.258835,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.000,0.260381,0.275405,0.310049,0.398526,0.611045,1.314057,1.301640,1.403835,1.663942,1.521443,1.309478,1.243666,0.921149,0.427979,0.297981,0.231651,0.208123,0.213311,0.215070,0.250459,0.314300,0.279841,0.264057,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.020,0.259284,0.273089,0.307640,0.392634,0.611864,1.311717,1.307619,1.402853,1.660616,1.520786,1.284043,1.237098,0.918882,0.417439,0.246455,0.233219,0.200133,0.202690,0.206916,0.246006,0.321431,0.276279,0.267525,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.040,0.260872,0.271742,0.307831,0.396084,0.611923,1.319032,1.306115,1.407833,1.649697,1.520666,1.311982,1.237653,0.898911,0.419675,0.280795,0.224429,0.211696,0.199204,0.210563,0.230119,0.332827,0.287195,0.257882,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.060,0.263970,0.272963,0.309058,0.395114,0.625791,1.320770,1.304535,1.408982,1.664294,1.517303,1.312298,1.240011,0.928713,0.417280,0.272869,0.232806,0.209527,0.202026,0.209979,0.244276,0.304838,0.279119,0.254373,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.080,0.256001,0.272096,0.304388,0.396636,0.616567,1.321367,1.320400,1.404562,1.661269,1.522829,1.317346,1.239957,0.915599,0.424353,0.288918,0.228969,0.203148,0.201073,0.204803,0.233811,0.313376,0.274274,0.267565,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.100,0.263398,0.281933,0.297138,0.402810,0.607206,1.308847,1.313144,1.405616,1.656556,1.525398,1.313605,1.248508,0.926157,0.407316,0.290046,0.237116,0.206710,0.199589,0.210279,0.239054,0.309838,0.274166,0.265540,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.120,0.254155,0.272490,0.309248,0.392141,0.611446,1.319099,1.299549,1.403496,1.666672,1.515142,1.307225,1.238240,0.912217,0.419987,0.280105,0.232682,0.206647,0.203325,0.213243,0.236462,0.324584,0.283100,0.258820,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.140,0.247368,0.276552,0.313700,0.384939,0.613432,1.312445,1.302420,1.403769,1.654390,1.527842,1.317980,1.246167,0.918358,0.426357,0.284444,0.225868,0.207414,0.200999,0.202385,0.238297,0.314203,0.278633,0.258202,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.160,0.268374,0.270183,0.317314,0.394816,0.613503,1.319206,1.309857,1.398134,1.668487,1.512082,1.310444,1.245353,0.923345,0.426313,0.264552,0.226192,0.211651,0.197144,0.201848,0.239598,0.319812,0.282359,0.260677,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.180,0.265146,0.270601,0.310575,0.396960,0.619250,1.312233,1.313460,1.407109,1.657883,1.524655,1.311965,1.245641,0.923548,0.407514,0.298970,0.229818,0.205795,0.197887,0.210458,0.250187,0.318128,0.284700,0.260989,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.200,0.261802,0.276597,0.322219,0.400847,0.608293,1.315582,1.304948,1.407859,1.657458,1.526265,1.312046,1.235977,0.893184,0.427946,0.274219,0.229082,0.211339,0.205785,0.209033,0.235348,0.314711,0.289924,0.257357,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.220,0.262241,0.273985,0.314057,0.393775,0.615027,1.315598,1.313480,1.413724,1.654001,1.521953,1.316536,1.247684,0.898274,0.415441,0.293638,0.229735,0.211053,0.192124,0.212709,0.242908,0.315111,0.289392,0.262238,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.240,0.250792,0.280704,0.307148,0.393648,0.613853,1.316659,1.312784,1.404599,1.665808,1.519718,1.298978,1.235405,0.924025,0.428863,0.279294,0.230792,0.208379,0.209217,0.220589,0.238652,0.323724,0.285329,0.260825,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.260,0.257445,0.274998,0.310949,0.385587,0.619256,1.322295,1.309449,1.409965,1.662184,1.518777,1.316508,1.245535,0.920175,0.414334,0.279400,0.225913,0.207288,0.196952,0.215675,0.239404,0.321628,0.286421,0.266814,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.280,0.265440,0.270426,0.318536,0.398146,0.617780,1.323411,1.302840,1.409231,1.660100,1.526710,1.308917,1.246917,0.917574,0.426054,0.285908,0.227604,0.201162,0.208267,0.208965,0.245651,0.316486,0.284287,0.262766,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.300,0.257315,0.269287,0.314496,0.395632,0.613441,1.323169,1.300170,1.401940,1.655098,1.516126,1.306411,1.243520,0.917299,0.422907,0.270806,0.221379,0.205485,0.207809,0.213368,0.239467,0.321559,0.279939,0.257332,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.320,0.254795,0.270368,0.310741,0.383137,0.625804,1.323282,1.315640,1.402656,1.648776,1.520523,1.322789,1.240127,0.922546,0.415483,0.293163,0.227318,0.198715,0.202596,0.214686,0.237151,0.310425,0.277462,0.265436,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.340,0.272122,0.273430,0.309617,0.394151,0.614450,1.319444,1.309615,1.411039,1.663369,1.516513,1.318785,1.240590,0.931817,0.423770,0.282434,0.224958,0.200988,0.190880,0.213119,0.236186,0.312430,0.280439,0.265961,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.360,0.262171,0.274598,0.308589,0.382977,0.612279,1.318978,1.312027,1.402996,1.655613,1.517214,1.313790,1.241339,0.921354,0.414127,0.275722,0.223342,0.209023,0.184357,0.216992,0.251671,0.314823,0.284075,0.255139,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.380,0.254730,0.276871,0.306401,0.390051,0.603724,1.318748,1.306288,1.408335,1.647431,1.516229,1.320392,1.246484,0.919240,0.419124,0.288339,0.235042,0.204304,0.199646,0.217107,0.239309,0.311313,0.273874,0.262888,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.400,0.252304,0.272844,0.305460,0.397343,0.612983,1.319191,1.314034,1.414590,1.663104,1.524396,1.313145,1.244412,0.921931,0.423977,0.269727,0.234188,0.204748,0.195767,0.207709,0.239426,0.319367,0.282130,0.259535,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.420,0.259658,0.276541,0.314389,0.396421,0.619156,1.317543,1.312479,1.402849,1.657835,1.523278,1.316023,1.241418,0.922634,0.431456,0.305935,0.227319,0.207155,0.210216,0.210759,0.234608,0.316994,0.282696,0.264758,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.440,0.249835,0.271186,0.312738,0.396761,0.614710,1.311954,1.308307,1.404784,1.655356,1.523097,1.317750,1.241145,0.924746,0.417352,0.269571,0.239426,0.212107,0.205476,0.204976,0.244849,0.322742,0.283174,0.260898,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.460,0.254302,0.268292,0.307995,0.399211,0.607049,1.317537,1.312385,1.396450,1.667225,1.528121,1.312711,1.232261,0.912327,0.414458,0.281447,0.228780,0.212442,0.200206,0.208414,0.248371,0.323609,0.286998,0.267685,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.480,0.267636,0.266637,0.303483,0.391565,0.614287,1.313138,1.298875,1.409012,1.660504,1.525192,1.315944,1.239933,0.921590,0.429112,0.287793,0.238955,0.204861,0.196853,0.210702,0.240420,0.318324,0.280668,0.258975,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
1.500,0.249201,0.247870,0.316838,0.399812,0.610817,1.320589,1.311008,1.402167,1.662844,1.525350,1.321855,1.245004,0.915592,0.426382,0.292350,0.236114,0.202926,0.202279,0.211671,0.235769,0.309316,0.282845,0.268238,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
