timestamp,gt_x,gt_y,est_x,est_y,position_error_m,max_belief,status
8.86,0.10058,-0.485855,-0.4750000000000001,0.06499999999999995,0.7967016803201811,0.02259793346224237,NORMAL
8.88,0.100577,-0.485857,-0.4750000000000001,0.06499999999999995,0.796700895805948,0.02278063491230175,NORMAL
8.9,0.100575,-0.485859,-0.4750000000000001,0.06499999999999995,0.7967008337550552,0.022770819178957354,NORMAL
8.92,0.100572,-0.48586,-0.4750000000000001,0.06499999999999995,0.7966993578408357,0.022742707236970007,NORMAL
8.94,0.10057,-0.485861,-0.4750000000000001,0.05499999999999994,0.7898173499113578,0.02321091693968938,NORMAL
8.96,0.100568,-0.485862,-0.4750000000000001,0.04499999999999993,0.7830025451223004,0.023312985928627575,NORMAL
8.98,0.100565,-0.485862,-0.4750000000000001,0.04499999999999993,0.7830003398907308,0.023704667876035,NORMAL
9.0,0.100563,-0.485863,-0.4750000000000001,0.04499999999999993,0.7829995477252844,0.02366241046299771,NORMAL
9.02,0.100561,-0.485863,-0.4750000000000001,0.04499999999999993,0.7829980775774612,0.02372145830870812,NORMAL
9.04,0.100559,-0.485863,-0.4750000000000001,0.04499999999999993,0.7829966074319862,0.02387113463544908,NORMAL
9.06,0.100556,-0.485863,-0.4750000000000001,0.04499999999999993,0.7829944022181767,0.02407338626766494,NORMAL
9.08,0.100554,-0.485863,-0.4750000000000001,0.04499999999999993,0.7829929320785725,0.02450600618893031,NORMAL
9.1,0.100552,-0.485862,-0.4750000000000001,0.04499999999999993,0.782990783948317,0.024544296191152358,NORMAL
9.12,0.10055,-0.485862,-0.4750000000000001,0.04499999999999993,0.7829893138121363,0.024633421494870484,NORMAL
9.14,0.100548,-0.485862,-0.4750000000000001,0.04499999999999993,0.7829878436783039,0.024430520689376265,NORMAL
9.16,0.100546,-0.485862,-0.4750000000000001,0.04499999999999993,0.7829863735468198,0.02399480241681774,NORMAL
9.18,0.100544,-0.485862,-0.4750000000000001,0.04499999999999993,0.782984903417684,0.02335744843073011,NORMAL
9.2,0.100542,-0.485861,-0.4750000000000001,0.04499999999999993,0.7829827552922223,0.02219119294474984,NORMAL
9.22,0.10054,-0.485861,-0.4750000000000001,0.04499999999999993,0.7829812851665102,0.02023968415105272,NORMAL
9.24,0.100538,-0.485861,-0.4750000000000001,0.04499999999999993,0.7829798150431466,0.018445517700182844,NORMAL
9.26,0.100537,-0.485861,-0.4750000000000001,0.04499999999999993,0.7829790799823454,0.015139190072997388,NORMAL
9.28,0.100535,-0.485861,-0.4750000000000001,0.04499999999999993,0.7829776098625043,0.011505256789841602,NORMAL
9.3,0.101015,-0.483533,-0.4750000000000001,0.04499999999999993,0.7817547008582679,0.007315236381795822,NORMAL
9.32,0.101571,-0.480581,-0.4750000000000001,0.04499999999999993,0.7801727408734555,0.0034978575543889757,NORMAL
9.34,0.102128,-0.477629,-0.20500000000000007,-0.505,0.3083452286399127,0.0031349703195897166,NORMAL
